Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W113126092431802,1,A&N Islands,South Andaman,PORT BLAIR,Kodiaghat,11.54500,92.74583,2021,7.74,349,0,183,25,1,1,,175,34,22,10,0,0.84,,206,4.8
W113616092411001,2,A&N Islands,South Andaman,PORT BLAIR,Sippighat,11.60250,92.73000,2021,7.53,660,0,262,82,5,1,,250,52,29,51,1,0.28,,381,6.4
W113640092443301,3,A&N Islands,South Andaman,PORT BLAIR,Brichganj,11.62083,92.73028,2021,7.50,270,0,116,35,1,0,,125,4,28,10,1,0.46,,151,BDL
W114421092422801,4,A&N Islands,South Andaman,FERRARGUNJ,Wimberleyganj,11.73250,92.70861,2021,7.60,311,0,159,39,2,0,,135,26,17,15,2,0.37,,198,0.4
W113955092391801,5,A&N Islands,South Andaman,FERRARGUNJ,Ograbraj,11.66361,92.65806,2021,7.82,2501,0,512,560,56,5,,465,56,79,336,18,0.95,,1424,BDL
W113137092432201,6,A&N Islands,South Andaman,PORT BLAIR,Burmanala,11.55778,92.72917,2021,7.71,264,0,153,35,1,1,,130,26,16,15,0,0.57,,188,3.4
W113227092433001,7,A&N Islands,South Andaman,PORT BLAIR,Calicut,11.60750,92.72556,2021,7.79,535,0,323,28,1,1,,245,38,36,19,0,0.41,,321,0.1
W114348092404801,8,A&N Islands,South Andaman,FERRARGUNJ,Saitankhari,11.71167,92.67111,2021,7.78,440,0,226,39,1,1,,190,36,24,22,2,0.69,,264,0.8
W123020092544201,9,A&N Islands,N&M Andaman,MAYABUNDER,Rangat,12.50611,92.90861,2021,7.92,592,0,317,35,1,0,,265,34,44,15,2,0.32,,325,2.3
W123014092513301,10,A&N Islands,N&M Andaman,MAYABUNDER,Bakultala,12.50417,92.85833,2021,7.78,456,0,226,21,5,2,,205,38,27,14,7,0.60,,251,0.3
W123129092581301,11,A&N Islands,N&M Andaman,MAYABUNDER,Nimbutala,12.49444,92.95417,2021,7.78,531,0,323,25,2,1,,245,36,38,14,1,0.68,,314,0.9
W123030092573801,12,A&N Islands,N&M Andaman,MAYABUNDER,Padmanavapuram,12.60667,92.94917,2021,7.29,506,0,275,32,0,0,,215,32,33,14,1,0.66,,280,BDL
W124940092512801,13,A&N Islands,N&M Andaman,MAYABUNDER,Rest Camp,12.83278,92.85917,2021,7.75,431,0,220,25,1,1,,195,20,35,18,1,0.40,,234,1.1
W113427092395101,14,A&N Islands,South Andaman,PORT BLAIR,Gupta Para,11.55972,92.65861,2021,7.22,147,0,49,25,0,0,,50,16,2,9,1,0.37,,84,0.5
W121001092455601,15,A&N Islands,N&M Andaman,RONGET,Baratang (Nilambur),12.16833,92.76694,2021,7.83,548,0,293,28,1,1,,200,26,33,35,1,0.49,,303,0.5
W121858092472001,16,A&N Islands,N&M Andaman,RONGET,Uttara,12.16139,92.79000,2021,7.59,253,0,122,28,1,1,,110,22,13,11,2,0.47,,153,0.5
W122041092464401,17,A&N Islands,N&M Andaman,RONGET,Kadamtala,12.34917,92.77417,2021,7.90,626,0,342,28,1,1,,240,26,43,48,1,0.38,,356,0.1
W122009092455601,18,A&N Islands,N&M Andaman,RONGET,Porlobjig-15,12.49556,92.78111,2021,7.70,349,0,189,25,1,1,,150,22,23,16,3,0.70,,206,0.1
W122724092462501,19,A&N Islands,N&M Andaman,RONGET,Tikadera,12.52278,92.81389,2021,7.38,186,0,92,21,0,1,,80,22,6,9,2,0.48,,117,0.2
W125604092513601,20,A&N Islands,N&M Andaman,MAYABUNDER,Mohanpur,12.95417,92.83556,2021,7.61,579,0,238,60,6,8,,195,36,26,50,7,0.34,,338,BDL
W251045079470001,21,A&N Islands,N&M Andaman,KABRAI,Srinagar,13.13944,92.86806,2021,7.38,387,0,195,21,2,1,,115,32,9,44,3,0.31,,231,BDL
W131024092555501,22,A&N Islands,N&M Andaman,DIGLIPUR,Nabagram,13.15472,92.94833,2021,7.31,278,0,177,21,1,3,,145,14,27,9,1,0.43,,185,0.8
W131351092571902,23,A&N Islands,N&M Andaman,DIGLIPUR,Durgapur,13.27333,93.03194,2021,7.54,475,0,238,35,11,4,,190,38,23,32,2,0.39,,292,4.1
W131708093001101,24,A&N Islands,N&M Andaman,DIGLIPUR,Laxmipur,13.27583,92.96667,2021,7.29,360,0,134,21,38,2,,120,28,12,32,5,0.54,,221,0.7
W131427092592601,25,A&N Islands,N&M Andaman,DIGLIPUR,Subhasgram,13.25222,92.97417,2021,7.55,844,0,329,28,86,7,,355,56,52,42,2,0.34,,475,5.0
W124345092530501,26,A&N Islands,N&M Andaman,MAYABUNDER,Basantipur,12.75750,92.87250,2021,7.69,366,0,220,18,2,0,,175,36,21,14,2,0.57,,227,6.4
W113938092443601,27,A&N Islands,South Andaman,PORT BLAIR,Marina Park,11.67167,92.74667,2021,7.77,378,0,220,25,1,0,,195,42,22,11,2,0.38,,237,2.3
W114231092390001,28,A&N Islands,South Andaman,FERRARGUNJ,Annikat,11.70833,92.65000,2021,7.45,412,0,195,35,3,2,,140,28,17,24,1,0.68,,230,2.9
W114016092415501,29,A&N Islands,South Andaman,FERRARGUNJ,Namunagar,11.69028,92.68028,2021,7.52,273,0,146,25,2,1,,120,28,12,12,1,0.52,,172,0.1
W122205092551201,30,A&N Islands,Long Island,RONGET,Long Island,12.36444,92.92333,2021,7.14,533,0,305,25,5,2,,255,74,17,7,1,0.74,,317,1.8
W122200092552201,31,A&N Islands,Long Island,RONGET,Long Island (forest Area),12.36639,92.92333,2021,7.34,878,0,494,32,2,0,,280,40,44,55,11,0.68,,497,0.7
W115913092571701,32,A&N Islands,Havelock,PORT BLAIR,Radhanagar,11.99167,92.95333,2021,7.77,878,0,458,53,8,1,,245,48,30,75,8,0.22,,504,0.1
W123652092555501,33,A&N Islands,N&M Andaman,MAYABUNDER,Swadeshnagar,12.65083,92.89111,2021,7.60,260,0,146,18,8,0,,135,18,22,9,1,0.15,,165,2.5
W114004092441501,34,A&N Islands,South Andaman,PORT BLAIR,Light House,11.66778,92.73778,2021,7.79,858,0,458,50,6,0,,110,16,17,154,4,0.23,,527,4.5
W291530078553001,35,A&N Islands,Neil Island,Gadarpur,Bharatpur,11.83000,93.03806,2021,7.25,557,0,329,35,3,1,,245,44,33,21,1,0.31,,338,0.8
W291530078553001,36,A&N Islands,Neil Island,Gadarpur,Bharatpur,11.83611,93.04444,2021,7.46,746,0,409,43,11,1,,300,64,34,40,3,0.25,,446,0.3
W243310081461201,37,A&N Islands,Neil Island,MAUGANJ,Sitapur,11.82000,93.05972,2021,7.71,1020,0,488,74,4,1,,330,54,47,50,13,0.72,,543,0.1
W114955093010201,38,A&N Islands,Neil Island,PORT BLAIR,Laxmanpur,11.83194,93.01694,2021,7.59,953,0,415,78,24,2,,295,44,45,60,5,0.26,,511,1.7
W113947092444601,39,A&N Islands,Ross Island,PORT BLAIR,Ross Island,11.67500,92.76167,2021,7.53,466,0,183,53,19,0,,210,48,22,12,2,0.37,,290,0.6
W113646092400201,40,A&N Islands,South Andaman,PORT BLAIR,Dhannikhari,11.61556,92.66778,2021,7.67,348,0,183,21,2,0,,160,26,23,11,0,1.21,,225,0.9
W113839092392201,41,A&N Islands,South Andaman,FERRARGUNJ,Port Mout,11.64389,92.65611,2021,7.87,448,0,226,18,25,0,,190,38,23,17,1,0.38,,287,0.8
W114056092381101,42,A&N Islands,South Andaman,FERRARGUNJ,Tushnabad,11.68222,92.63639,2021,7.92,749,0,262,92,6,6,,180,48,15,87,8,0.51,,437,0.7
W105435075551501,43,A&N Islands,South Andaman,THIRUR MUNICIPALITY,Tirur,11.72417,92.61361,2021,7.20,157,0,61,21,0,0,,60,18,4,7,1,0.82,,104,1.2
W114302092391001,44,A&N Islands,South Andaman,FERRARGUNJ,Ferrarganj,11.71694,92.65278,2021,7.50,1016,0,397,96,18,5,,230,62,18,127,7,0.31,,585,0.7
W114320092393901,45,A&N Islands,South Andaman,FERRARGUNJ,Bindraban,11.72167,92.66722,2021,7.88,372,0,183,18,4,0,,135,20,21,16,1,0.26,,205,0.7
W114358092423201,46,A&N Islands,South Andaman,FERRARGUNJ,Knoppuram,11.73250,92.70889,2021,7.66,461,0,220,21,40,0,,175,42,17,29,2,0.64,,305,0.1
W114730092363001,47,A&N Islands,South Andaman,FERRARGUNJ,Mile Tilak,11.79472,92.65556,2021,7.71,391,0,153,21,46,1,,135,38,10,29,6,0.45,,266,2.3
W114011092403601,48,A&N Islands,South Andaman,FERRARGUNJ,Mithakhari,11.01778,92.67306,2021,7.29,223,0,73,35,0,0,,130,40,7,34,3,0.18,,125,0.6
W113444092403501,49,A&N Islands,South Andaman,PORT BLAIR,Nayasahar,11.57889,92.67639,2021,7.53,190,0,67,18,10,0,,70,18,6,12,0,0.19,,118,0.1
W110705076071501,50,A&N Islands,South Andaman,MANJERI MUNICIPALITY,Manjeri,11.53750,92.64722,2021,7.15,609,0,183,78,15,1,,140,26,18,68,4,0.24,,339,0.6
W113551092375801,51,A&N Islands,South Andaman,PORT BLAIR,Mamyo,11.59750,92.63278,2021,7.55,169,0,67,25,0,0,,60,16,5,13,0,0.53,,112,BDL
W113833092433601,52,A&N Islands,South Andaman,PORT BLAIR,Lamba Line,11.64500,92.73083,2021,7.81,326,0,140,43,2,2,,110,36,5,29,4,0.35,,223,0.7
W114317092435901,53,A&N Islands,South Andaman,FERRARGUNJ,Mount Harriyat,11.72139,92.73306,2021,7.04,202,0,67,21,17,1,,100,22,11,3,1,0.32,,121,1.6
W122440092454401,54,A&N Islands,N&M Andaman,RONGET,Phooltala Basti,12.41167,92.76222,2021,7.91,499,0,256,43,1,1,,225,22,41,19,4,0.21,,300,0.6
W130955092525301,55,A&N Islands,N&M Andaman,DIGLIPUR,Kishorinagar (Parangara),13.16500,92.88167,2021,7.38,157,0,61,18,5,1,,65,12,9,6,1,0.32,,95,0.5
W131850092563301,56,A&N Islands,N&M Andaman,DIGLIPUR,Milangram,13.31417,92.94111,2021,7.91,931,0,281,113,61,3,,345,30,66,55,7,0.83,,515,0.1
W131434093023901,57,A&N Islands,N&M Andaman,DIGLIPUR,Shibpur,13.24306,93.04417,2021,7.72,748,0,348,67,0,1,,260,74,18,63,2,0.52,,439,0.1
W131537093004901,58,A&N Islands,N&M Andaman,DIGLIPUR,Keralapuram,13.26000,93.01333,2021,8.07,481,0,165,32,47,1,,125,24,16,44,2,0.34,,279,5.6
W125022092511201,59,A&N Islands,N&M Andaman,MAYABUNDER,Pahalgaon,12.83944,92.85333,2021,7.64,616,0,299,32,7,1,,250,22,47,25,2,0.74,,340,3.5
W124157092525401,60,A&N Islands,N&M Andaman,MAYABUNDER,Joypur,12.69944,92.88139,2021,8.07,516,0,262,14,3,0,,225,22,41,5,0,0.26,,267,0.5
W123720092522201,61,A&N Islands,N&M Andaman,MAYABUNDER,Betapur,12.62583,92.92111,2021,8.03,427,0,171,25,37,0,,175,16,33,13,1,0.19,,246,1.1
W120159092585201,62,A&N Islands,Havelock Island,PORT BLAIR,Havelock Island Jetty,12.04111,92.98083,2021,7.66,1076,0,299,138,91,5,,280,80,19,107,8,0.73,,645,0.3
W120017093001701,63,A&N Islands,Havelock Island,PORT BLAIR,Vijaynagar,12.00528,93.00694,2021,7.54,579,0,293,46,4,1,,235,62,19,32,7,0.28,,370,1.0
W222820086432601,64,A&N Islands,Havelock Island,CHAKULIA,Kalapathar,11.97472,93.00583,2021,7.48,895,0,439,71,0,1,,285,78,22,87,3,0.39,,530,0.1
W120001092583401,65,A&N Islands,Havelock Island,PORT BLAIR,Krishnanagar,12.00028,92.97583,2021,7.58,446,0,134,28,63,0,,195,60,11,3,3,0.17,,321,0.5
W114953093010801,66,A&N Islands,Neil Island,PORT BLAIR,Pearl Park Resort,11.84583,92.01500,2021,7.55,673,0,293,74,21,1,,240,64,19,49,2,0.08,,436,0.3
W114909093023001,67,A&N Islands,Neil Island,PORT BLAIR,Ramnagar,13.31417,92.94111,2021,7.65,593,0,244,50,10,0,,240,54,26,23,3,0.96,,333,3.9
W175430082071501,68,Andhra Pradesh,Visakhapatnam,GUDEM KOTHAVEEDI,Dharakonda,17.9083,82.1208,2021,6.8,410,0,171,25,8,41,N.A.,180,38,21,13,2,0.401,N.A.,,
W175300083260001,69,Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-1,17.8833,83.4333,2021,7.2,760,0,189,82,20,97,N.A.,195,50,17,71,22,0.322,N.A.,,
W175300083260002,70,Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-2,17.8833,83.4333,2021,7.3,2650,0,695,298,160,186,N.A.,780,184,78,164,140,0.593,N.A.,,
W172255082461501,71,Andhra Pradesh,Visakhapatnam,NAKKALLI,Gurrajupeta,17.3819,82.7708,2021,7.21,2750,0,708,397,143,120,N.A.,780,200,68,274,26,0.677,N.A.,,
W173030082400002,72,Andhra Pradesh,Visakhapatnam,KOTAURATLA,Purshotta Puram,17.5083,82.6667,2021,7.69,1400,0,549,99,70,55,N.A.,310,64,36,175,11,1.59,N.A.,,
W174536082330201,73,Andhra Pradesh,Visakhapatnam,KOYYURU,Pata K.d.peta,17.6708,82.3625,2021,7.5,1150,0,476,71,45,53,N.A.,390,104,32,62,23,0.509,N.A.,,
W172730082510001,74,Andhra Pradesh,Visakhapatnam,S.RAYAVARAM,Rayavaram,17.4583,82.8500,2021,7.61,2140,0,610,298,80,23,N.A.,580,56,107,219,8,0.533,N.A.,,
W175904083282801,75,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Lawson's Bay,17.7306,83.3433,2021,7.31,2740,0,952,269,135,24,N.A.,540,56,97,334,68,0.688,N.A.,,
W174929083162601,76,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Kancherapalem (Govt. Polytech,17.7342,83.2800,2021,7.7,1140,0,451,78,70,24,N.A.,320,48,49,117,0,0.807,N.A.,,
W170640082154501,77,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Pithapuram,17.7153,83.3319,2021,7.28,690,0,214,71,35,18,N.A.,205,42,24,60,0,0.338,N.A.,,
W175407083145101,78,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Gopalpatnam PZ,17.7617,83.2203,2021,7.6,800,0,281,71,36,17,N.A.,250,46,33,64,2,0.594,N.A.,,
W180421083274601,79,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Anandapuram PZ,17.8919,83.3711,2021,7.4,350,0,165,14,13,5,N.A.,105,28,9,23,16,0.485,N.A.,,
W174914083182001,80,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Akkireddipalem PZ,17.7092,83.2072,2021,7.29,780,0,360,35,35,5,N.A.,205,36,28,85,1,0.918,N.A.,,
W175353082592001,81,Andhra Pradesh,Visakhapatnam,BUCHCHAYYAPETA,L.Singavaram,17.8139,82.8167,2021,7.3,950,0,464,35,29,3,N.A.,305,54,41,78,1,0.817,N.A.,,
W180441082255101,82,Andhra Pradesh,Visakhapatnam,PENDURTI,Bandavaripalem X road,17.7147,82.5906,2021,7.6,1630,0,366,142,281,30,N.A.,560,64,97,98,30,0.982,N.A.,,
W175014082404101,83,Andhra Pradesh,Visakhapatnam,GOLUGONDA,Naganna Dorapalem,17.7014,82.4792,2021,7.32,850,0,476,11,18,4,N.A.,275,56,33,69,5,1,N.A.,,
W270611093414001,84,Arunachal Pradesh,PAPUMPARE,Doimukh,Naharlagun I,27.1,93.69,2021,8.07,367.30,0.00,103.78,31.905,14.94,40.32,,155.00,16.01,27.90,14.49,6.11,0.26,,197.50,
W272730096063001,85,Arunachal Pradesh,Changlang,Miao circle,Namphai,27.446084,96.10863,2021,7.88,114.70,0.00,73.26,3.545,2.09,5.26,,75.00,6.00,14.56,1.30,0.31,0.12,,61.10,
W272500096024501,86,Arunachal Pradesh,Changlang,Miao circle,Namchik,27.414577,95.971986,2021,7.79,122.00,0.00,61.05,14.180,10.36,6.48,,70.00,12.01,9.70,2.93,1.60,0.13,,64.77,
W275818095452601,87,Arunachal Pradesh,Lower Dibang valley,Roing,Kangklong,27.97171,95.75741,2021,7.71,207.90,0.00,67.15,10.635,14.90,14.46,,45.00,16.01,1.21,14.23,9.08,0.13,,109.10,
W271200095313001,88,Arunachal Pradesh,Tirap,Khonsa circle,Deomali,27.196588,95.462758,2021,7.49,146.40,0.00,42.73,17.725,13.67,4.23,,65.00,8.01,10.92,6.82,3.49,0.04,,77.50,
W274000095523001,89,Arunachal Pradesh,Lohit,Namsai circle,Lathow,27.73948,95.909805,2021,7.39,47.35,0.00,54.94,10.635,3.05,0.06,,30.00,10.01,1.21,15.91,2.06,0.06,,25.09,
W270100095280001,90,Arunachal Pradesh,Tirap,Khonsa circle,Borduria,27.115189,95.413139,2021,7.36,44.20,0.00,24.42,17.725,2.75,1.05,,45.00,6.00,7.28,1.76,0.37,0.08,,23.17,
W270030095280001,91,Arunachal Pradesh,Tirap,Khonsa circle,Hukanjuri,27.125802,95.437686,2021,7.05,112.40,0.00,67.15,60.265,8.01,13.58,,155.00,6.00,33.98,7.06,4.13,0.04,,59.51,
W261210093062301,92,Assam,East Kaarbi-Anglong,Raha,Swarghati,26.2027778,93.10638889,2021,8.77,337.90,12.00,238.09,28.360,0.00,12.57,,185.00,48.04,15.75,18.59,13.90,0.70,,196.60,
W261113092440601,93,Assam,Nagaon,Kathiatoli,Kathiatoli,26.1880556,92.70277778,2021,8.76,505.40,9.00,231.99,77.990,45.24,12.54,,205.00,46.04,21.82,48.60,22.74,0.62,,297.20,
W261418091443401,94,Assam,Kamrup    Metro,NorthGuwahati,Dirgheswari,26.2388889,91.73994444,2021,8.72,369.70,15.00,244.20,53.175,18.91,0.00,,205.00,34.03,29.11,37.80,7.99,1.80,,197.80,
W260101093225401,95,Assam,Karbi Anglong,Bokajan,Terangaon,26.0225,93.38177778,2021,8.70,246.00,6.00,195.36,14.180,8.31,0.00,,145.00,44.04,8.47,11.53,35.00,0.61,,142.50,
W261210093080001,96,Assam,East Kaarbi-Anglong,Howraghat,Langhing,26.2027778,93.13333333,2021,8.70,249.10,6.00,140.41,28.360,10.54,30.82,,120.00,32.03,9.69,27.62,3.90,0.88,,144.20,
W254600093103001,97,Assam,Nagaon,Lanka,Lumding,25.758808,93.17457,2021,8.68,540.20,21.00,274.72,38.995,26.02,17.96,,220.00,44.04,26.68,45.14,9.52,0.88,,311.40,
W261229093035601,98,Assam,East Kaarbi-Anglong,Samelangso,Dokmoka,26.2083333,93.06555556,2021,8.68,197.80,12.00,152.62,10.635,7.66,22.75,,110.00,36.03,4.84,25.42,5.06,0.64,,114.80,
W230530080300001,99,Assam,East Kaarbi-Anglong,Howraghat,Manikpur,26.2497222,93.14638889,2021,8.66,474.30,15.00,293.03,49.630,9.72,11.48,,140.00,26.02,18.19,65.70,38.15,0.72,,276.40,
W261453091412401,100,Assam,Kamrup,Bejera,Dhobartari,26.2481944,91.69025,2021,8.66,449.50,12.00,238.09,155.980,12.12,0.50,,175.00,52.04,10.90,78.92,48.60,1.10,,240.80,
W262406092483001,101,Assam,Nagaon,Samulguri,Pahukata,26.4019444,92.80916667,2021,8.64,728.10,21.00,445.66,88.625,21.69,0.00,,330.00,56.04,46.09,48.68,50.93,0.66,,423.50,
W261800092470001,102,Assam,Nagaon,Brahmpur,Bamuni Tinali,26.2952778,92.7925,2021,8.64,312.10,6.00,152.62,38.995,20.39,0.00,,105.00,30.02,7.27,21.72,33.80,0.66,,182.10,
W262500092370001,103,Assam,Nagaon,Nagaon,Telia bebejia,26.4411111,92.64,2021,8.62,286.60,12.00,177.04,24.815,11.56,0.00,,130.00,36.03,9.69,24.92,10.78,0.97,,165.00,
W260418092123701,104,Assam,Morigaon,Mayong,Silsang Namghar,26.1216667,92.3508333,2021,8.59,214.50,3.00,91.57,24.815,11.13,0.00,,120.00,28.02,12.12,2.41,8.44,0.74,,121.10,
W261015091350501,105,Assam,Kamrup,Hajo,Sualkuchi,26.1674444,91.57083333,2021,8.54,1143.00,18.00,543.33,145.350,4.80,2.03,,430.00,72.06,60.64,95.88,72.54,0.95,,607.00,
W261056093084901,106,Assam,East Kaarbi-Anglong,Howraghat,Phuloni,26.1708333,93.13666667,2021,8.53,500.20,12.00,323.56,53.175,30.45,5.39,,255.00,48.04,32.74,44.01,14.60,0.83,,297.50,
W263532092560401,107,Assam,Nagaon,Kaliabor,Silghat,26.6069444,92.92916667,2021,8.49,410.40,15.00,280.82,28.360,21.19,13.86,,225.00,52.04,23.03,28.68,11.09,1.00,,240.10,
W255639091070501,108,Assam,Goalpara,Rongjuli,Rajapara,25.9458333,91.11333333,2021,8.48,348.10,6.00,268.61,17.725,1.29,0.52,,105.00,26.02,9.70,52.11,52.30,2.30,,185.00,
W255739093291801,109,Assam,Karbi Anglong,Bokajan,Amlokhi,25.9538889,93.48861111,2021,8.45,1058.00,6.00,659.33,138.255,19.41,0.77,,255.00,32.03,42.46,176.72,43.80,0.62,,629.70,
W255447092574201,110,Assam,Nagaon,Lanka,Lanka,26.1880556,92.73611111,2021,8.45,111.20,9.00,207.57,113.440,5.09,0.00,,230.00,24.02,41.25,54.79,0.85,0.42,,64.15,
W262900092293002,111,Assam,Nagaon,Kathiatoli,Bichamari,26.4013889,92.46,2021,8.44,428.10,15.00,213.67,38.995,15.49,20.08,,200.00,54.04,15.75,27.69,3.13,0.97,,245.80,
W261521092134601,112,Assam,Morigaon,Bhurbandha,Garmari Gaon,26.2630556,92.22361111,2021,8.44,468.90,21.00,360.19,17.725,0.00,2.33,,270.00,92.07,9.66,9.20,28.08,0.99,,270.80,
W255424093393901,113,Assam,Karbi Anglong,Bokajan,Lahorijan,25.9069444,93.66138889,2021,8.43,670.80,9.00,231.99,109.895,13.00,36.42,,250.00,50.04,30.32,85.72,7.57,0.50,,393.60,
W255900092554401,114,Assam,Nagaon,Dhalpukhri,Jurapukhuri,25.9652778,92.94361111,2021,8.42,493.50,9.00,195.36,24.815,16.53,7.36,,150.00,44.04,9.69,27.13,7.04,0.83,,284.60,
W263400092514301,115,Assam,Nagaon,Kaliabor,Dalapani,26.5672222,92.86222222,2021,8.42,545.70,21.00,335.77,46.085,20.85,0.00,,270.00,66.05,25.45,26.83,21.19,0.87,,318.00,
W255817090570901,116,Assam,Goalpara,Rongjuli,Sarapara,25.9713889,90.9525,2021,8.39,273.10,9.00,225.88,28.360,2.57,0.14,,100.00,24.02,9.70,54.82,31.93,1.60,,147.00,
W262356092135501,117,Assam,Morigaon,Lahorighat,Barukati,26.4,92.2319444,2021,8.39,369.10,9.00,201.46,28.360,8.98,0.20,,190.00,18.01,35.19,10.27,3.01,0.98,,213.20,
W261723091424301,118,Assam,Kamrup,Bejera,Dora Kahara,26.2898889,91.71211111,2021,8.39,469.70,9.00,238.09,209.155,2.77,1.07,,240.00,38.03,35.18,72.43,46.72,0.65,,266.50,
W272830095220001,119,Assam,Tinsukia,Guijan,Tinsukia,27.484937,95.351924,2021,8.39,768.10,9.00,146.52,95.715,26.25,41.36,,230.00,32.03,36.39,50.05,19.24,0.09,,411.10,
W261136092144301,120,Assam,Morigaon,Morigaon,Kumoi,26.1936111,92.2452778,2021,8.38,413.70,6.00,140.41,38.995,10.85,0.00,,135.00,22.02,19.41,20.64,3.73,1.40,,240.50,
W261615091131401,121,Assam,Nalbari,Barkhetri,Daulasal,26.2709722,91.22075,2021,8.38,626.80,18.00,250.30,205.610,14.95,0.32,,270.00,78.06,18.17,79.61,39.01,0.74,,330.90,
W274510095082001,122,Assam,DHEMAJI,Murkongselek,Bijoypur,27.7803889,95.16677778,2021,8.38,438.20,9.00,219.78,38.995,22.97,17.12,,185.00,36.03,23.04,30.14,10.59,0.54,,233.10,
W261136092144301,123,Assam,Morigaon,Morigaon,Kumoi,26.1936111,92.24527778,2021,8.37,772.90,12.00,286.93,170.160,14.91,0.00,,265.00,72.06,20.60,112.24,6.42,1.10,,455.90,
W261529092184201,124,Assam,Morigaon,Morigaon,Basanaghat,26.2580556,92.3116667,2021,8.37,270.60,9.00,97.68,31.905,13.92,0.00,,120.00,28.02,12.12,5.84,7.50,0.71,,155.30,
W272935095153601,125,Assam,Tinsukia,Guijan,Panitola,27.49542,95.254476,2021,8.36,369.50,12.00,201.46,17.725,13.35,3.91,,150.00,26.02,20.62,20.07,16.68,0.08,,196.10,
W245247092530501,126,Assam,Cachar,Borkhola,Moinarbond,24.8533611,92.83588889,2021,8.35,338.50,9.00,183.15,116.985,5.69,0.52,,170.00,38.03,18.19,55.51,13.45,0.71,,178.70,
W261427092154901,127,Assam,Morigaon,Bhurbandha,Pamibaghara,26.240898,92.26362,2021,8.35,183.70,9.00,79.36,31.905,8.60,0.00,,95.00,22.02,9.70,10.81,3.90,0.73,,106.40,
W243503092010001,128,Assam,Cachar,Barjalenga,Dwarbond,24.5841667,92.01777778,2021,8.35,513.20,6.00,128.20,290.690,9.19,1.60,,250.00,40.03,36.39,78.79,40.38,0.34,,277.80,
W261101092175101,129,Assam,Morigaon,Bhurbandha,Baghara,26.2266667,92.27583333,2021,8.33,875.80,6.00,286.93,177.250,20.72,13.83,,230.00,58.05,20.60,114.16,36.82,0.85,,503.80,
W272624094123501,130,Assam,LAKHIMPUR,Boginadi,Pathalipam II,27.44,94.21,2021,8.33,27.14,12.00,42.73,10.635,0.15,0.00,,30.00,4.00,4.85,13.14,7.74,0.38,,15.49,
W244314092204701,131,Assam,Karimganj,South Karimganj,Kayasthagram,24.7206944,92.34611111,2021,8.33,378.80,12.00,219.78,127.620,15.20,1.03,,245.00,64.05,20.60,42.44,17.64,0.53,,200.00,
W243345092245001,132,Assam,Karimganj,Dullavcherra,Sarkaribari,24.56525,92.41,2021,8.31,336.10,15.00,219.78,106.350,1.77,0.23,,195.00,56.04,13.32,40.44,28.72,0.43,,173.50,
W262900092293001,133,Assam,Nagaon,Batadara,Dhing,26.461485,92.47859,2021,8.31,403.70,15.00,244.20,24.815,19.27,4.58,,190.00,28.02,29.11,32.06,8.54,0.90,,233.40,
W260708091584801,134,Assam,Kamrup,Dimaria,Samanta Pathar,26.1188889,91.98,2021,8.29,109.60,0.00,79.36,14.180,0.42,0.00,,45.00,16.01,1.21,18.04,4.28,1.00,,62.33,
W261427092154901,135,Assam,Morigaon,Bhurbandha,Pamibaghara,26.240898,92.26362,2021,8.28,120.00,0.00,61.05,17.725,5.37,0.00,,65.00,14.01,7.27,8.79,1.70,0.75,,68.72,
W273000094324001,136,Assam,DHEMAJI,Dhemaji,Dhemaji,27.5115833,94.58730556,2021,8.27,196.10,0.00,134.31,7.090,3.23,1.75,,100.00,38.03,1.20,5.39,1.63,0.47,,101.50,
W272630094170001,137,Assam,LAKHIMPUR,Boginadi,Pathalipam,27.4476944,94.23002778,2021,8.24,108.90,0.00,67.15,7.090,7.82,0.52,,65.00,18.01,4.85,2.37,2.41,0.49,,62.74,
W255600092423102,138,Assam,West Kaarbi-Anglong,Howraghat,Boithalangsu,25.9722222,92.58583333,2021,8.24,113.40,0.00,73.26,14.180,4.46,0.01,,55.00,8.01,8.49,11.30,1.12,1.10,,65.80,
W255143092460601,139,Assam,West Kaarbi-Anglong,Langsomepi,Kalonga,25.8616667,92.76777778,2021,8.24,163.40,0.00,36.63,24.815,4.18,2.35,,40.00,8.01,4.85,8.58,6.71,0.65,,94.42,
W260700092003001,140,Assam,Kamrup,Dimaria,Sonapur,26.1177778,91.96388889,2021,8.22,312.10,0.00,67.15,53.175,47.40,4.69,,105.00,12.01,18.20,21.34,24.24,0.42,,179.40,
